experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
agmatrix,2,3,1,1,1.3578801e-17,7.9465089e-18,5.632292e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3578801e-17,1,3,0,NaN,NaN,NaN,NaN,NaN,5.3081495026939,1.69597679933126,5.3081495026939,255097.323471491,0.450769479692995,0.448095274959923,NaN
agmatrix,2,3.5,1,1.5,1.3618107e-17,8.4216351e-18,5.1964718e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3618107e-17,1.5,3.5,0,NaN,NaN,NaN,NaN,NaN,5.31582659272305,1.69842966290815,5.31582659272305,255725.642002209,0.452303390306192,0.448951229885991,NaN
agmatrix,2,3.2,1.5,0.2,9.3875559e-18,4.9383862e-18,4.4491697e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3875559e-18,0.2,3.2,0,NaN,NaN,NaN,NaN,NaN,4.41355661993089,1.41015049145449,4.41355661993089,383022.976325667,0.337146084236017,0.396378044245478,NaN
agmatrix,2,3.5,1.5,0.5,9.5222597e-18,5.3380221e-18,4.1842376e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5222597e-18,0.5,3.5,0,NaN,NaN,NaN,NaN,NaN,4.44510931001225,1.4202317128495,4.44510931001225,383588.463003314,0.342797460976661,0.399414445009211,NaN
agmatrix,2,4,1.5,1,9.6551165e-18,5.8549525e-18,3.800164e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.6551165e-18,1,4,0,NaN,NaN,NaN,NaN,NaN,4.47601149840536,1.43010509613244,4.47601149840536,384530.940799391,0.348458151689158,0.402481041043157,NaN
agmatrix,2,4.5,1.5,1.5,9.7463481e-18,6.3350216e-18,3.4113264e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7463481e-18,1.5,4.5,0,NaN,NaN,NaN,NaN,NaN,4.49710878830092,1.43684577179983,4.49710878830092,385473.418595468,0.352419585165558,0.404646041224661,NaN
agmatrix,2,4.2,2,0.2,7.3301256e-18,3.946464e-18,3.3836615e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.3301256e-18,0.2,4.2,0,NaN,NaN,NaN,NaN,NaN,3.90003174836027,1.24607706669105,3.90003174836027,513210.575890429,0.290296733316634,0.380241461875222,NaN
agmatrix,2,4.5,2,0.5,7.4023764e-18,4.2805298e-18,3.1218466e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4023764e-18,0.5,4.5,0,NaN,NaN,NaN,NaN,NaN,3.9192053256284,1.25220310782656,3.9192053256284,513964.55812729,0.293863748765342,0.382184564102496,NaN
agmatrix,2,5,2,1,7.4243544e-18,4.7430159e-18,2.6813385e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4243544e-18,1,5,0,NaN,NaN,NaN,NaN,NaN,3.92501916493263,1.25406065471178,3.92501916493263,515221.195188726,0.295278162456182,0.383019205142833,NaN
agmatrix,2,5.5,2,1.5,7.5820466e-18,5.1963426e-18,2.3857041e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5820466e-18,1.5,5.5,0,NaN,NaN,NaN,NaN,NaN,3.96648356343951,1.26730870995781,3.96648356343951,516477.832250162,0.302871066491542,0.387132043945482,NaN
